Unnamed: 0,Date Created,User,Tweet
70,2022-04-08 16:08:05+00:00,Gugunlol12,"Ketua DPR RI Puan Maharani berharap para menteri fokus mengatasi berbagai persoalan, khususnya kenaikan berbagai harga komoditas belakangan ini. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
71,2022-04-08 16:07:49+00:00,Gugunlol12,Ketua DPR RI Puan Maharani turut berbicara soal arahan Presiden Jokowi yang melarang para menterinya bicara soal wacana penundaan pemilu atau perpanjangan masa jabatan presiden. Puan mendukung sikap Jokowi tersebut. #JokowiBersamaPuan Tolak Tunda Pemilu 2024
72,2022-04-08 16:07:35+00:00,Gugunlol12,Keberadaan UU TPKS kata Puan Maharani akan menjadi payung hukum untuk merehabilitasi pelaku serta sebagai jaminan agar kekerasan seksual tidak kembali berulang. #JokowiBersamaPuan Tolak Tunda Pemilu 2024
73,2022-04-08 16:07:20+00:00,Gugunlol12,"Puan menyebut, kehadiran UU TPKS nantinya menjadi wujud keberpihakan negara dalam mencegah segala bentuk kekerasan seksual. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
74,2022-04-08 16:07:04+00:00,Gugunlol12,"“Saya sadari pembahasan RUU TPKS diwarnai banyak dinamika sejak awal diusulkan tahun 2016. Pencapaian ini adalah keberhasilan kita seluruh bangsa Indonesia,” –Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
75,2022-04-08 16:06:48+00:00,Gugunlol12,Ketua DPR RI Puan Maharani berterima kasih kepada seluruh pihak yang terus berpartisipasi memperjuangkan RUU TPKS hingga titik akhir. #JokowiBersamaPuan Tolak Tunda Pemilu 2024
76,2022-04-08 16:06:13+00:00,Gugunlol12,Secara khusus Puan mendedikasikan pengesahan RUU TPKS akan sebagai hadiah bagi kaum perempuan dalam menyambut peringatan Hari Kartini. #JokowiBersamaPuan Tolak Tunda Pemilu 2024
77,2022-04-08 15:56:14+00:00,Jonibn11,"Pada 2018, Puan menerima Anugerah Bintang Bhayangkara Utama dari Kapolri. Selanjutnya pada 2019, Puan menerima Anugerah Pers 2019 Jawa Tengah Bidang Pemerintahan, khususnya diseminasi dan Implementasi Gerakan Revolusi Mental. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
78,2022-04-08 15:55:16+00:00,Jonibn11,"Selain itu, Puan juga pernah menerima prestasi Democracy Award 2016 dari rakyat Merdeka Online. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
79,2022-04-08 15:55:01+00:00,Jonibn11,"Pada 2015, Ketua DPR RI Puan Maharani  Menteri Termuda dalam Kabinet Kerja Jokowi-JK (MURI) dan Perempuan Pertama yang menjabat Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (MURI). #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
80,2022-04-08 15:54:46+00:00,Jonibn11,"Mulai dari 2013, Ketua DPR RI Puan Maharani adalah Pemrakarsa Pagelaran Wayang Kulit dengan kelir terpanjang (MURI) lho guys! #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
81,2022-04-08 15:54:30+00:00,Jonibn11,Ketua DPR RI Puan Maharani menorehkan prestasi gemilang yang patut diacungi jempol.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024
82,2022-04-08 15:54:07+00:00,Jonibn11,"Puan menjadi salah satu sosok keberhasilan Asian Games dan Pra games 2018, rehabilitasi pasca bencana, revitalisasi pendidikan vokasional, kebijakan kesehatan yang monumental, cita-cita Indonesia Emas, Indonesia Hebat. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
83,2022-04-08 15:52:22+00:00,Jonibn11,Puan menerima penghargaan dari majalah Her Times pada tahun 2019 sebagai Eminent Women of the year. #JokowiBersamaPuan Tolak Tunda Pemilu 2024
84,2022-04-08 15:52:06+00:00,Jonibn11,"Pada 2018, Puan Maharani menerima penghargaan sebagai Bintang Bhayangkara Utama dari Polri. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
85,2022-04-08 15:51:00+00:00,Jonibn11,"Pertama, Puan Maharani tercatat sebagai Menteri Koordinator perempuan pertama, sekaligus yang termuda sepanjang sejarah Indonesia.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
86,2022-04-08 15:50:43+00:00,Jonibn11,"Sobat puan, faktanya, Ketua DPR RI Puan Maharani memiliki segudang prestasi yang patut dibanggakan lho!  #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
